# German-Esperanto translations created from the Universal dictionary at 2011-08-27T09:43:20-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Abend 	 vespero 	 time 
 Effekt ; Ergebnis ; Folge ; Resultat ; Wirkung 	 konsekvenco 	 medicine 
 Ehe ; Ehegemeinschaft 	 edzeco 	 society 
 Ehefrau ; Frau ; Gemahlin 	 edzino 	 family 
 Ehemann ; Mann ; Gemahl ; Gatte 	 edzo 	 family 
 Eheschliessung ; Heirat ; Trauung ; Vermählung 	 geedzigxo 	 family 
 Ei 	 ovo 	 food 
 Eigentum ; Besitz ; Habseligkeiten 	 havo 	 society 
 Eiland ; Insel 	 insulo 	 nature 
 Eind ; Ende ; Schluss 	 fino 	 abstract 
 Einheit 	 unito 	 mathematics 
 Einkommen 	 enspezo 	 business 
 Einrichtung ; Organisation 	 organizado 	 society 
 Einspruch 	 protesto 	 communication 
 Einzelheit 	 detalo 	 logistics 
 Eis 	 glacio 	 material 
 Eis 	 glacio 	 nature 
 Eisen 	 fero 	 material 
 Elefant 	 elefanto 	 animal 
 Element 	 elemento 	 mathematics 
 Element 	 kemia elemento 	 material 
 Energie 	 energio 	 nature 
 Energie ; Kraft 	 povo 	 abstract 
 Englisch 	 Angla lingvo 	 language 
 Entwicklung 	 evoluo 	 nature 
 Erde 	 Tero 	 nature 
 Erde 	 grundo 	 material 
 Erdöl ; Rohöl ; Öl 	 petrolo 	 material 
 Ereignis ; Begebenheit ; Vorfall ; Geschehnis 	 evento 	 abstract 
 Erfahrung 	 sperto 	 society 
 Erfolg 	 sukceso 	 society 
 Ergebnis 	 rezulto 	 mathematics 
 Ergänzung ; Zugabe 	 aldono 	 abstract 
 Erhebung 	 esplorado 	 abstract 
 Erkältung 	 malvarmumo 	 medicine 
 Ersatz 	 substituo 	 abstract 
 Erziehung 	 edukado 	 society 
 Essen ; Mahlzeit 	 manĝo 	 food 
 Essen ; Nahrungsmittel ; Nährstoff ; Speise ; essen ; nahrung 	 nutraĵo 	 food 
 Essenz ; Kern ; Kernel ; Quintessenz ; Wesentliche 	 esenco 	 abstract 
 Examen ; Prüfung 	 ekzameno 	 communication 
 Experte 	 spertulo 	 profession 
 Fabrik ; Fertigungsanlage 	 fabriko 	 city 
 Fabrik ; Werk 	 fabriko 	 city 
 Fachmann ; Profi 	 profesiisto 	 profession 
 Fahrgast ; Passagier 	 pasagxero 	 transport 
 Fahrkarte ; Fahrschein ; Karte 	 bileto 	 object 
 Fahrrad 	 biciklo 	 object 
 Fahrt ; Reise 	 vojagxo 	 transport 
 Faktur ; Nota ; Rechnung ; Rechnungsstellung 	 fakturo 	 business 
 Fall ; Sturz 	 falo 	 abstract 
 Falte ; Biegung ; Biegen ; Krümmung 	 falto 	 object 
 Familie 	 familio 	 family 
 Familie ; Haushalt ; Privathaushalt ; familie 	 familio 	 family 
 Farbe 	 farbo 	 art 
 Farbe 	 koloroj 	 art 
 Farbe ; Färbung 	 koloro 	 art 
 Februar 	 februaro 	 time 
 Feder 	 plumo 	 object 
 Feder 	 risorto 	 object 
 Fehler ; Irrtum ; Schnitzer 	 eraro 	 communication 
 Feld 	 kampo 	 nature 
 Fenster 	 fenestro 	 house 
 Fett 	 graso 	 material 
 Feuchtigkeit 	 humideco 	 nature 
 Feuer ; Flamme 	 flamo 	 nature 
 Fielge ; Fliege 	 muŝo 	 animal 
 Film 	 filmo 	 art 
 Finger 	 fingro 	 anatomy 
 Firma ; Betrieb 	 firmo 	 business 
 Fisch 	 fiŝo 	 animal 
 Flagge 	 flago 	 object 
 Flasche 	 botelo 	 food 
 Fleisch ; Fleish 	 viando 	 food 
 Fliegen ; Flug 	 flugo 	 transport 
 Flughafen ; Flugplatz 	 aerodromo 	 city 
 Flugzeug 	 aeroplano 	 object 
 Fluss 	 rivero 	 nature 
 Fläche 	 spaco 	 mathematics 
 Flügel 	 flugilo 	 anatomy 
 Flüssigkeit 	 likva 	 nature 
 Form 	 formo 	 art 
 Formblatt ; Formular 	 formularo 	 society 
 Forschung 	 esploro 	 abstract 
 Fotoapparat 	 fotoaparato 	 object 
 Fotograf ; Photograph 	 fotografisto 	 profession 
 Frankreich 	 Francio 	 country 
 Frau 	 virino 	 family 
 Frau 	 virino 	 society 
 Freitag 	 vendredo 	 time 
 Freund 	 amisto 	 family 
 Freund ; Freundin 	 amiko 	 family 
 Freundin 	 koramikino 	 family 
 Frieden 	 paco 	 abstract 
 Front ; Vorderseite ; Vorderteil 	 antauxajxo 	 abstract 
 Frucht ; Obst 	 frukto 	 food 
 Fräulein ; Mädchen 	 frauxlino 	 family 
 Frühjahr ; Frühling ; Lenz 	 printempo 	 nature 
 Frühstück 	 matenmangxo 	 food 
 Fundament 	 bazo 	 mathematics 
 Funktion 	 funkcio 	 mathematics 
 Funktion ; Zweck 	 funkcio 	 linguistics 
 Fuß ; Fuss 	 piedo 	 anatomy 
 Fußball 	 piedpilko 	 sports 
 Fußboden 	 planko 	 house 
 Fähigkeit 	 povo 	 abstract 
 Führer 	 estro 	 society 
 Führung ; Management ; Verwaltung 	 kondukado 	 society 
 Füller 	 plumo 	 object 
 Gabel 	 forko 	 food 
 Ganze 	 tutajxo 	 abstract 
 Garage 	 garaĝo 	 transport 
 Gardine ; Vorhang 	 kurteno 	 house 
 Garten 	 ĝardeno 	 house 
 Gast 	 gasto 	 travelling 
 Geburtstag 	 naskiĝtago 	 family 
 Gebühr 	 depago 	 business 
 Gedanke ; Idee 	 penso 	 communication 
 Gedächtnis 	 memoro 	 communication 
 Gefahr 	 danĝero 	 abstract 
 Gefahr ; Risiko ; Wagnis 	 risko 	 transport 
 Gefängnis 	 prizono 	 city 
 Gefühl 	 sento 	 communication 
 Gegenspieler ; Gegner ; Konkurrent ; Rival ; Wettbewerber 	 konkuranto 	 business 
 Gegenteil 	 malo 	 abstract 
 Geheimnis 	 sekreta 	 communication 
 Gehirn 	 cerbo 	 anatomy 
 Gehölz ; Holz ; Wald 	 arbaro 	 nature 
 Geist ; Verstand ; Psyche 	 menso 	 mathematics 
 Geiß ; Ziege 	 kapro 	 animal 
 Gelassenheit ; Ruhe 	 sereneco 	 abstract 
 Geld 	 mono 	 business 
 Gemeinschaft 	 komunumo 	 society 
 Gemälde 	 pentrado 	 art 
 Gen 	 geno 	 anatomy 
 Genehmigung ; Billigung 	 aprobo 	 communication 
 General 	 generalo 	 profession 
 Gericht 	 tribunalo 	 society 
 Geräusch ; Lärm ; Geräusche 	 bruo 	 society 
 Geschenk 	 donaco 	 object 
 Geschichte 	 historio 	 society 
 Geschick 	 lerteco 	 sports 
 Geschlecht 	 sekso 	 nature 
 Geschmack 	 gusto 	 nature 
 Geschoss ; Etage ; Stockwerk 	 etagxo 	 house 
 Geschäft 	 vendejo 	 business 
 Geschäftsmann 	 negocisto 	 profession 
 Gesellschaft 	 grupo 	 society 
 Gesellschaft 	 socio 	 society 
 Gesetz 	 leĝo 	 society 
 Gesicht 	 vizaĝo 	 anatomy 
 Gestein ; Stein 	 ŝtono 	 nature 
 Gesundheit 	 sano 	 medicine 
 Gesundheitszustand 	 sano 	 abstract 
 Getränk ; Trank 	 trinkajxo 	 food 
 Gewehr 	 pafilo 	 object 
 Gewicht 	 pezo 	 physics 
 Gewinn ; Verdienst 	 profito 	 business 
 Gewinn ; Vorteil 	 utilo 	 abstract 
 Gewächs ; Pflanze 	 planto 	 house 
 Gift 	 veneno 	 material 
 Gipfel ; Höhepunkt 	 supro 	 abstract 
 Gitarre ; Guitarre 	 gitaro 	 object 
 Glas 	 glaso 	 food 
 Glas 	 vitro 	 material 
 Glaube ; Religion 	 fido 	 society 
 Gleichgewicht 	 ekvilibro 	 physics 
 Gleis ; Schiene ; Geländer ; Schienen 	 relo 	 transport 
 Glocke 	 sonorilo 	 object 
 Gold 	 oro 	 material 
 Golf 	 golfo 	 travelling 
 Grad 	 grado 	 linguistics 
 Grad ; Niveau ; Stufe 	 grado 	 linguistics 
 Gras ; Ried ; herbe 	 herbo 	 nature 
 Grau 	 grizo 	 color 
 Grenze 	 limito 	 mathematics 
 Großbuchstabe 	 majusklo 	 linguistics 
 Grund 	 tero 	 communication 
 Grund ; Ursache 	 kauxzo 	 abstract 
 Grund ; Ursache 	 motivo 	 communication 
 Gruppe ; Gruppierung 	 grupo 	 abstract 
 Größe 	 grandeco 	 physics 
 Haar 	 haro 	 anatomy 
 Haare 	 haroj 	 anatomy 
 Haken 	 krocxilo 	 object 
 Hals 	 kolo 	 anatomy 
 Halt 	 halto 	 abstract 
 Hammer 	 martelo 	 object 
 Hand 	 mano 	 anatomy 
 Handel 	 komerco 	 business 
 Handlung 	 ago 	 mathematics 
 Handtasche 	 mansaketo 	 clothes 
 Hang ; Steigung 	 deklivo 	 mathematics 
 Hass 	 malamo 	 relations 
 Hauptstadt 	 ĉefurbo 	 society 
 Haus 	 domo 	 house 
 Haut 	 hauxto 	 anatomy 
 Heim ; Heimat ; Zuhause ; Eigenheim ; Haus 	 hejmo 	 house 
 Hemd 	 ĉemizo 	 clothes 
 Henkel ; Stiel 	 anso 	 object 
 Herbst 	 aŭtuno 	 nature 
 Herkunft ; Ursprung ; Quelle 	 origino 	 transport 
 Herz 	 koro 	 anatomy 
 Hilfe ; Mithilfe ; Unterstützung 	 helpo 	 communication 
 Hilfe ; Stütze ; Unterstützung 	 apogo 	 abstract 
 Himmel 	 cxielo 	 nature 
 Hitze 	 varmego 	 medicine 
 Hochschule ; Universität 	 universitato 	 education 
 Hochzeit 	 nupto 	 family 
 Holz 	 ligno 	 material 
 Hotel ; Gasthaus ; Gasthof 	 hotelo 	 city 
 Humor 	 humoro 	 communication 
 Hund 	 hundo 	 animal 
 Husten 	 tuso 	 medicine 
 Hut 	 ĉapelo 	 clothes 
 Hälfte 	 duono 	 mathematics 
 Höhe 	 alteco 	 abstract 
 Höhle 	 truo 	 abstract 
 Hügel 	 monteto 	 nature 
 Image 	 bildo 	 art 
 Indien 	 Hindio 	 country 
 Individuum 	 individuo 	 society 
 Individuum ; Einzelperson ; Mensch ; Person 	 persono 	 family 
 Individuum ; Einzelperson ; Mensch ; Person ; Erdenbürger ; Sterblicher ; Einzelwesen 	 homo 	 family 
 Industrie 	 industrio 	 society 
 Information ; Auskunft 	 informo 	 communication 
 Insekt 	 insekto 	 animal 
 Inserat ; Reklame ; Werbung ; Zeitungsanzeige 	 reklamo 	 business 
 Institution ; Niederlassung 	 institucio 	 society 
 Instrukteur ; Lehrer ; Lehrkraft 	 instruisto 	 profession 
 Instrument 	 instrumento 	 device 
 Interesse 	 intereso 	 communication 
 Internet 	 interreto 	 mathematics 
 Interview 	 intervjuo 	 communication 
 Italien 	 Italio 	 country 
 Jacke ; Sakko 	 jako 	 clothes 
 Jahr 	 jaro 	 time 
 Jahrhundert 	 jarcento 	 time 
 Januar 	 januaro 	 time 
 Japan 	 Japanio 	 country 
 Journalist 	 ĵurnalisto 	 profession 
 Juli 	 julio 	 time 
 Junge 	 knabo 	 family 
 Juni 	 junio 	 time 
 Kaffe ; Kaffee 	 kafo 	 food 
 Kante ; Rand 	 eĝo 	 mathematics 
 Kapital 	 kapitalo 	 business 
 Karte 	 karto 	 object 
 Karte 	 mapo 	 object 
 Kartoffel 	 terpomo 	 food 
 Kasten ; Kiste ; Truhe 	 kesto 	 object 
 Katze 	 kato 	 animal 
 Kehle 	 gorgxo 	 anatomy 
 Kenntnis 	 kognicio 	 education 
 Kette 	 ĉeno 	 object 
 Keule ; Knüppel 	 klabo 	 object 
 Kind 	 infano 	 family 
 Kinn 	 mentono 	 anatomy 
 Kino 	 kino 	 city 
 Kirche 	 eklezio 	 city 
 Kiste 	 kesteto 	 object 
 Klasse 	 klaso 	 art 
 Kleidung 	 vestoj 	 clothes 
 Kleidung ; Garderobe ; Kleider ; Wäsche ; Klamotten ; Gewand ; Bekleidung 	 kostumo 	 clothes 
 Kluft ; Riss ; Spalte ; Sprung 	 fendeto 	 abstract 
 Knie 	 genuo 	 anatomy 
 Kniff ; List 	 ruzo 	 abstract 
 Knochen 	 osto 	 anatomy 
 Knopf ; Taste 	 butono 	 object 
 Knoten 	 nodo 	 object 
 Koch ; Köchin 	 kuiristo 	 profession 
 Koffer ; Handkoffer 	 valizo 	 clothes 
 Kohle 	 karbo 	 material 
 Kohlehydrat ; Zucker 	 karbonhidrato 	 food 
 Kollegium ; Rat 	 koncilio 	 society 
 Konkurrenzkampf 	 konkurenco 	 business 
 Konstruktion ; Struktur ; Aufbau 	 konstruado 	 house 
 Konto 	 kalkulo 	 business 
 Konzert 	 koncerto 	 art 
 Kopf ; Haupt 	 kapo 	 anatomy 
 Kopie 	 kopio 	 object 
 Korb 	 korbo 	 object 
 Kosten 	 kosto 	 society 
 Kraft ; Gewalt ; Stärke 	 forto 	 abstract 
 Kraftanstrengung 	 peno 	 abstract 
 Kragen 	 kolumo 	 clothes 
 Krankenschwester 	 flegistino 	 profession 
 Krankheit 	 malsano 	 medicine 
 Krawatte ; Schlips 	 kravato 	 clothes 
 Kreatur ; Tier ; Vieh 	 animala 	 nature 
 Kreis 	 rondo 	 mathematics 
 Kriminalität ; Verbrechen 	 krimo 	 society 
 Kriterium ; Maß ; Norm ; Standard 	 kriterio 	 communication 
 Krümmung 	 kurbo 	 mathematics 
 Kuchen 	 kuko 	 food 
 Kuh 	 bovino 	 animal 
 Kultur 	 kulturo 	 society 
 Kunde 	 kliento 	 business 
 Kunst ; Arte 	 arto 	 art 
 Kurve 	 kurbo 	 art 
 Kurve 	 sinuo 	 transport 
 Kuß 	 kiso 	 relations 
 Kälte 	 malvarmo 	 nature 
 Käse 	 fromaĝo 	 food 
 König 	 regxo 	 society 
 Ladung 	 sxargajxo 	 nature 
 Lage 	 situacio 	 abstract 
 Land 	 ruro 	 society 
 Leben 	 vivo 	 nature 
 Leder 	 ledo 	 material 
 Lehrgang ; Kurs 	 kurso 	 education 
 Leim 	 gluo 	 material 
 Lexikon ; Wörterbuch 	 vortaro 	 linguistics 
 Licht 	 lumo 	 nature 
 Liebe 	 amo 	 relations 
 Linie ; Zeile 	 streko 	 mathematics 
 Lippe 	 lipo 	 anatomy 
 Liste 	 listo 	 abstract 
 Luft 	 aero 	 nature 
 Lunch ; Mittagessen 	 tagmanĝo 	 food 
 Lächeln ; Grinsen 	 rideto 	 abstract 
 Löffel 	 kulero 	 food 
 Löwe 	 leono 	 animal 
 Lüge 	 mensogo 	 communication 
 Macht 	 forto 	 abstract 
 Magen 	 stomako 	 anatomy 
 Mann 	 homo 	 family 
 Mann 	 masklo 	 society 
 Mannschaft 	 teamo 	 society 
 Mantel 	 palto 	 clothes 
 Marke ; Zeichen 	 marko 	 abstract 
 Markt 	 bazaro 	 business 
 Maschine 	 aparato 	 device 
 Masse 	 maso 	 physics 
 Material ; materiell ; Stoff ; Zeug 	 materialo 	 material 
 Materie ; Stoff 	 materio 	 material 
 Matrose ; Seemann 	 maristo 	 profession 
 Mauer 	 muro 	 house 
 Maßnahme ; Vorkehrung ; Maßregel 	 mezuro 	 abstract 
 Meer 	 maro 	 nature 
 Mehrheit 	 plejparto 	 abstract 
 Meinung ; Ansicht ; Stellungnahme 	 opinio 	 communication 
 Meisterschaft ; Titel 	 titolo 	 sports 
 Menge 	 nombro 	 abstract 
 Menorrhö ; Menstruation 	 monatajxo 	 medicine 
 Menü ; Speisekarte 	 menuo 	 object 
 Messen ; Messung 	 mezurado 	 art 
 Messer 	 tranĉilo 	 food 
 Metall 	 metalo 	 material 
 Methode 	 metodo 	 mathematics 
 Metro ; U-Bahn 	 metroo 	 transport 
 Metropole ; Stadt 	 metropolo 	 society 
 Milch 	 lakto 	 food 
 Milieu ; Umgebung ; Umwelt 	 medio 	 nature 
 Militär 	 armeo 	 society 
 Million 	 miliono 	 number 
 Minister 	 ministro 	 profession 
 Minute 	 minuto 	 time 
 Mitglied 	 membro 	 society 
 Mitte ; Mittelpunkt 	 centro 	 mathematics 
 Mitte ; Mittelpunkt ; Zentrum 	 centro 	 mathematics 
 Mittel ; Mittelwert 	 meznombro 	 mathematics 
 Mitternacht 	 noktomezo 	 time 
 Mittwoch 	 merkredo 	 time 
 Mobiltelefon 	 poŝtelefono 	 device 
 Mode 	 modo 	 abstract 
 Modell 	 modelo 	 object 
 Moment 	 minuto 	 time 
 Monat 	 monato 	 time 
 Monat 	 monato 	 transport 
 Mond 	 luno 	 nature 
 Montag 	 lundo 	 time 
 Morgen ; Vormittag 	 mateno 	 time 
 Motor 	 motoro 	 device 
 Mund 	 buŝo 	 anatomy 
 Museum 	 muzeo 	 city 
 Musik 	 muziko 	 art 
 Musikant ; Musiker 	 muzikisto 	 profession 
 Muskel 	 muskolo 	 anatomy 
 Muster ; Paradigma ; Prototyp 	 prototipo 	 linguistics 
