# German-French translations created from the Universal dictionary at 2011-08-27T09:43:09-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 Abend 	 soir 	 time 
 Club ; Klub ; Verein ; Gilde ; Innung ; Zunft 	 club 	 society 
 Computer ; Rechner 	 ordinateur 	 device 
 Dach 	 toit 	 house 
 Dampf 	 vapeur 	 physics 
 Dasein ; Existenz ; Sein 	 existence 	 society 
 Datum 	 date 	 time 
 Daumen 	 pouce 	 anatomy 
 Deckel ; Hülle ; Mantel ; Umschlag 	 couvercle 	 object 
 Demokratie ; Republik 	 république 	 society 
 Deutsch ; Deutsche 	 allemand 	 linguistics 
 Deutschland 	 République fédérale d'Allemagne 	 country 
 Dezember 	 décembre 	 time 
 Diele ; Halle ; Vestibül ; Vorhalle ; Vorraum 	 entrée 	 house 
 Diener 	 serviteur 	 profession 
 Dienst ; Bedienung ; Dienstleistung 	 service 	 sports 
 Ding ; Sache 	 chose 	 object 
 Direktor ; Verwalter ; leitender Verwaltungsangestellter 	 directeur 	 profession 
 Diskussion 	 argument 	 communication 
 Disziplin 	 discipline 	 linguistics 
 Diversität ; Verschiedenheit ; Vielfalt 	 diversité 	 art 
 Domizil ; Wohnsitz ; Wohnung 	 maison 	 house 
 Donnerstag 	 jeudi 	 time 
 Dorf 	 village 	 society 
 Dorf 	 village 	 society 
 Draht 	 fil 	 object 
 Druck 	 pression 	 nature 
 Dunst ; Qualm ; Rauch 	 fumée 	 nature 
 Dusche 	 douche 	 house 
 Ebene 	 plaine 	 nature 
 Edelstein ; Juwel ; Kleinod 	 bijou 	 object 
 Effekt ; Ergebnis ; Folge ; Resultat ; Wirkung 	 conséquence 	 medicine 
 Ehe ; Ehegemeinschaft 	 mariage 	 society 
 Ehefrau ; Frau ; Gemahlin 	 femme 	 family 
 Ehemann ; Mann ; Gemahl ; Gatte 	 mari 	 family 
 Eheschliessung ; Heirat ; Trauung ; Vermählung 	 mariage 	 family 
 Ei 	 oeuf 	 food 
 Eigenschaft 	 propriété 	 abstract 
 Eigentum ; Besitz ; Habseligkeiten 	 propriété 	 society 
 Eiland ; Insel 	 île 	 nature 
 Eind ; Ende ; Schluss 	 fin 	 abstract 
 Einheit 	 unité 	 mathematics 
 Einkommen 	 revenu 	 business 
 Einrichtung ; Organisation 	 organisation 	 society 
 Einspruch 	 objection 	 communication 
 Einzelheit 	 détail 	 logistics 
 Eis 	 glace 	 material 
 Eis 	 glace 	 nature 
 Eisen 	 fer 	 material 
 Elefant 	 éléphant 	 animal 
 Element 	 élément 	 mathematics 
 Element 	 élément chimique 	 material 
 Elternteil 	 parent 	 family 
 Energie 	 énergie 	 nature 
 Energie ; Kraft 	 faculté 	 abstract 
 Englisch 	 anglais 	 language 
 Entdeckung 	 découverte 	 society 
 Entwicklung 	 évolution 	 nature 
 Entwurf 	 projet 	 abstract 
 Erde 	 Terre 	 nature 
 Erde 	 terre 	 material 
 Erdöl ; Rohöl ; Öl 	 pétrole 	 material 
 Ereignis ; Begebenheit ; Vorfall ; Geschehnis 	 événement 	 abstract 
 Erfahrung 	 expérience 	 society 
 Erfindung 	 invention 	 art 
 Erfolg 	 succès 	 society 
 Ergebnis 	 résultat 	 mathematics 
 Ergänzung ; Zugabe 	 composant additionnel 	 abstract 
 Erhebung 	 investigation 	 abstract 
 Erkältung 	 rhume 	 medicine 
 Ersatz 	 échange 	 abstract 
 Erziehung 	 éducation 	 society 
 Essen ; Mahlzeit 	 repas 	 food 
 Essen ; Nahrungsmittel ; Nährstoff ; Speise ; essen ; nahrung 	 nourriture 	 food 
 Essenz ; Kern ; Kernel ; Quintessenz ; Wesentliche 	 essence 	 abstract 
 Examen ; Prüfung 	 examen 	 communication 
 Experte 	 expert 	 profession 
 Fabrik ; Fertigungsanlage 	 usine 	 city 
 Fabrik ; Werk 	 usine 	 city 
 Fachmann ; Profi 	 professionnel 	 profession 
 Fahrgast ; Passagier 	 passager 	 transport 
 Fahrkarte ; Fahrschein ; Karte 	 billet 	 object 
 Fahrrad 	 bicyclette 	 object 
 Fahrt ; Reise 	 trajet 	 transport 
 Faktur ; Nota ; Rechnung ; Rechnungsstellung 	 facture 	 business 
 Fall 	 affaire 	 abstract 
 Fall ; Sturz 	 chute 	 abstract 
 Falte ; Biegung ; Biegen ; Krümmung 	 pli 	 object 
 Familie 	 famille 	 family 
 Familie ; Haushalt ; Privathaushalt ; familie 	 famille 	 family 
 Farbe 	 couleur 	 art 
 Farbe 	 peinture 	 art 
 Farbe ; Färbung 	 teinte 	 art 
 Februar 	 février 	 time 
 Feder 	 plume 	 object 
 Feder 	 ressort 	 object 
 Fehler ; Irrtum ; Schnitzer 	 erreur 	 communication 
 Feld 	 terrain 	 nature 
 Fenster 	 fenêtre 	 house 
 Fernseher 	 téléviseur 	 device 
 Fett 	 gras 	 material 
 Feuchtigkeit 	 humidité 	 nature 
 Feuer ; Flamme 	 flamme 	 nature 
 Fielge ; Fliege 	 mouche 	 animal 
 Film 	 pellicule 	 art 
 Film 	 pellicule 	 object 
 Finger 	 doigt 	 anatomy 
 Firma 	 société 	 business 
 Firma ; Betrieb 	 maison 	 business 
 Fisch 	 poisson 	 animal 
 Flagge 	 drapeau 	 object 
 Flasche 	 bouteille 	 food 
 Fleisch ; Fleish 	 viande 	 food 
 Fliegen ; Flug 	 vol 	 transport 
 Flughafen ; Flugplatz 	 aérodrome 	 city 
 Flugzeug 	 avion 	 object 
 Fluss 	 fleuve 	 nature 
 Fläche 	 aire 	 mathematics 
 Flügel 	 aile 	 anatomy 
 Flüssigkeit 	 liquide 	 nature 
 Form 	 forme 	 art 
 Formblatt ; Formular 	 questionnaire 	 society 
 Forschung 	 recherche 	 abstract 
 Fotoapparat 	 caméra 	 object 
 Fotograf ; Photograph 	 photographe 	 profession 
 Frankreich 	 République française 	 country 
 Französisch 	 français 	 language 
 Frau 	 femme 	 family 
 Frau 	 femme 	 society 
 Freitag 	 vendredi 	 time 
 Freund 	 amant 	 family 
 Freund ; Freundin 	 copain 	 family 
 Freundin 	 copine 	 family 
 Frieden 	 paix 	 abstract 
 Front ; Vorderseite ; Vorderteil 	 avant 	 abstract 
 Frucht ; Obst 	 fruit 	 food 
 Fräulein ; Mädchen 	 mademoiselle 	 family 
 Frühjahr ; Frühling ; Lenz 	 printemps 	 nature 
 Frühstück 	 déjeuner 	 food 
 Fundament 	 base 	 mathematics 
 Funktion 	 fonction 	 mathematics 
 Funktion ; Zweck 	 fonction 	 linguistics 
 Fuß ; Fuss 	 pied 	 anatomy 
 Fußball 	 football 	 sports 
 Fußboden 	 sol 	 house 
 Fähigkeit 	 capacité 	 abstract 
 Führer 	 chef 	 society 
 Führung ; Management ; Verwaltung 	 direction 	 society 
 Füller 	 plume 	 object 
 Gabel 	 fourchette 	 food 
 Ganze 	 tout 	 abstract 
 Garage 	 dépôt 	 transport 
 Gardine ; Vorhang 	 rideau 	 house 
 Garten 	 jardin 	 house 
 Gast 	 hôte 	 travelling 
 Geburt 	 naissance 	 nature 
 Geburtstag 	 anniversaire 	 family 
 Gebühr 	 prix 	 business 
 Gedanke ; Idee 	 pensée 	 communication 
 Gedächtnis 	 mémoire 	 communication 
 Gefahr 	 danger 	 abstract 
 Gefahr ; Risiko ; Wagnis 	 aléa 	 transport 
 Gefängnis 	 prison 	 city 
 Gefühl 	 sentiment 	 communication 
 Gegenspieler ; Gegner ; Konkurrent ; Rival ; Wettbewerber 	 concurrent 	 business 
 Gegenteil 	 contraire 	 abstract 
 Gegenwart 	 présent 	 time 
 Geheimnis 	 secret 	 communication 
 Gehirn 	 cerveau 	 anatomy 
 Gehölz ; Holz ; Wald 	 forêt 	 nature 
 Geist ; Verstand ; Psyche 	 esprit 	 mathematics 
 Geiß ; Ziege 	 chèvre 	 animal 
 Gelassenheit ; Ruhe 	 sérénité 	 abstract 
 Geld 	 argent 	 business 
 Gemeinschaft 	 communauté 	 society 
 Gemälde 	 tableau 	 art 
 Gen 	 gène 	 anatomy 
 Genehmigung ; Billigung 	 approbation 	 communication 
 General 	 général 	 profession 
 Gericht 	 tribunal 	 society 
 Geräusch ; Lärm ; Geräusche 	 bruit 	 society 
 Geschenk 	 présent 	 object 
 Geschichte 	 histoire 	 society 
 Geschick 	 adresse 	 sports 
 Geschlecht 	 sexe 	 nature 
 Geschmack 	 goût 	 nature 
 Geschoss ; Etage ; Stockwerk 	 étage 	 house 
 Geschäft 	 affaire 	 business 
 Geschäft 	 boutique 	 business 
 Geschäftsmann 	 négociant 	 profession 
 Gesellschaft 	 compagnie 	 society 
 Gesellschaft 	 organisation 	 society 
 Gesellschaft 	 société 	 society 
 Gesetz 	 loi 	 society 
 Gesicht 	 visage 	 anatomy 
 Gestein ; Stein 	 caillou 	 nature 
 Gesundheit 	 santé 	 medicine 
 Gesundheitszustand 	 santé 	 abstract 
 Getränk ; Trank 	 boisson 	 food 
 Gewehr 	 fusil 	 object 
 Gewicht 	 poids 	 physics 
 Gewinn ; Sieg 	 victoire 	 sports 
 Gewinn ; Verdienst 	 gain 	 business 
 Gewinn ; Vorteil 	 profit 	 abstract 
 Gewächs ; Pflanze 	 plante 	 house 
 Gift 	 venin 	 material 
 Gipfel ; Höhepunkt 	 sommet 	 abstract 
 Gitarre ; Guitarre 	 guitare 	 object 
 Glas 	 verre 	 food 
 Glas 	 verre 	 material 
 Glaube ; Religion 	 foi 	 society 
 Gleichgewicht 	 équilibre 	 physics 
 Gleis ; Schiene ; Geländer ; Schienen 	 rail 	 transport 
 Glocke 	 cloche 	 object 
 Gold 	 or 	 material 
 Golf 	 golf 	 travelling 
 Grad 	 degré 	 linguistics 
 Grad ; Niveau ; Stufe 	 niveau 	 linguistics 
 Gras ; Ried ; herbe 	 herbe 	 nature 
 Grau 	 gris 	 color 
 Grenze 	 limite 	 mathematics 
 Großbuchstabe 	 majuscule 	 linguistics 
 Großvater ; Opa 	 grand-père 	 family 
 Grund 	 raison 	 communication 
 Grund ; Ursache 	 cause 	 abstract 
 Grund ; Ursache 	 raison 	 communication 
 Gruppe ; Gruppierung 	 groupe 	 abstract 
 Größe 	 taille 	 physics 
 Gute 	 bien 	 abstract 
 Haar 	 cheveux 	 anatomy 
 Haare 	 cheveux 	 anatomy 
 Haken 	 agrafe 	 object 
 Hals 	 cou 	 anatomy 
 Halt 	 arrêt 	 abstract 
 Hammer 	 marteau 	 object 
 Hand 	 main 	 anatomy 
 Handel 	 affaire 	 business 
 Handel 	 marché 	 business 
 Handlung 	 action 	 mathematics 
 Handtasche 	 sac 	 clothes 
 Hang ; Steigung 	 pente 	 mathematics 
 Hass 	 haine 	 relations 
 Hauptstadt 	 capitale 	 society 
 Haus 	 maison 	 house 
 Haut 	 peau 	 anatomy 
 Heim ; Heimat ; Zuhause ; Eigenheim ; Haus 	 foyer 	 house 
 Hemd 	 chemise 	 clothes 
 Henkel ; Stiel 	 oreille 	 object 
 Herbst 	 automne 	 nature 
 Herkunft ; Ursprung ; Quelle 	 source 	 transport 
 Herz 	 coeur 	 anatomy 
 Hilfe ; Mithilfe ; Unterstützung 	 aide 	 communication 
 Hilfe ; Stütze ; Unterstützung 	 appui 	 abstract 
 Himmel 	 ciel 	 nature 
 Hindi 	 hindi 	 language 
 Hitze 	 chaleur 	 medicine 
 Hochschule ; Universität 	 université 	 education 
 Hochzeit 	 mariage 	 family 
 Hoffnung 	 espoir 	 relations 
 Holz 	 bois 	 material 
 Hotel ; Gasthaus ; Gasthof 	 hôtel 	 city 
 Humor 	 humour 	 communication 
 Hund 	 chien 	 animal 
 Husten 	 toux 	 medicine 
 Hut 	 chapeau 	 clothes 
 Hälfte 	 moitié 	 mathematics 
 Höhe 	 hauteur 	 abstract 
 Höhle 	 trou 	 abstract 
 Hügel 	 colline 	 nature 
 Image 	 image 	 art 
 Indien 	 République de l'Inde 	 country 
 Individuum 	 individu 	 society 
 Individuum ; Einzelperson ; Mensch ; Person 	 personne 	 family 
 Individuum ; Einzelperson ; Mensch ; Person ; Erdenbürger ; Sterblicher ; Einzelwesen 	 homme 	 family 
 Industrie 	 industrie 	 society 
 Information 	 information 	 communication 
 Information ; Auskunft 	 information 	 communication 
 Insekt 	 insecte 	 animal 
 Inserat ; Reklame ; Werbung ; Zeitungsanzeige 	 annonce 	 business 
 Institution ; Niederlassung 	 institution 	 society 
 Instrukteur ; Lehrer ; Lehrkraft 	 maître 	 profession 
 Instrument 	 instrument 	 device 
 Interesse 	 intérêt 	 communication 
 Internet 	 internet 	 mathematics 
 Interview 	 interview 	 communication 
 Italien 	 Italie 	 country 
 Italienisch 	 italien 	 language 
 Jacke ; Sakko 	 veste 	 clothes 
 Jahr 	 année 	 time 
 Jahrhundert 	 siècle 	 time 
 Januar 	 janvier 	 time 
 Japan 	 Japon 	 country 
 Japanisch 	 japonais 	 language 
 Journalist 	 journaliste 	 profession 
 Juli 	 juillet 	 time 
 Junge 	 garçon 	 family 
 Juni 	 juin 	 time 
 Kaffe ; Kaffee 	 café 	 food 
 Kamera 	 caméra 	 object 
 Kampagne 	 campagne 	 abstract 
 Kante ; Rand 	 bord 	 mathematics 
 Kapelle 	 orchestre 	 art 
 Kapital 	 capital 	 business 
 Karte 	 carte 	 object 
 Karte 	 carte 	 object 
 Kartoffel 	 pomme de terre 	 food 
 Kasten ; Kiste ; Truhe 	 coffre 	 object 
 Katze 	 chat 	 animal 
 Kehle 	 gorge 	 anatomy 
 Kenntnis 	 connaissance 	 education 
 Kette 	 chaîne 	 object 
 Keule ; Knüppel 	 massue 	 object 
 Kind 	 enfant 	 family 
 Kinn 	 menton 	 anatomy 
 Kino 	 cinéma 	 city 
 Kirche 	 église 	 city 
 Kiste 	 cageot 	 object 
 Klasse 	 classe 	 art 
 Kleidung 	 costume 	 clothes 
 Kleidung ; Garderobe ; Kleider ; Wäsche ; Klamotten ; Gewand ; Bekleidung 	 mise 	 clothes 
 Kleingeld ; Wechselgeld 	 monnaie 	 business 
 Kluft ; Riss ; Spalte ; Sprung 	 fissure 	 abstract 
 Knie 	 genou 	 anatomy 
 Kniff ; List 	 ruse 	 abstract 
 Knochen 	 os 	 anatomy 
 Knopf ; Taste 	 bouton 	 object 
 Knoten 	 noeud 	 object 
 Koch ; Köchin 	 cuisinier 	 profession 
 Koffer ; Handkoffer 	 valise 	 clothes 
 Kohle 	 charbon 	 material 
 Kohlehydrat ; Zucker 	 sucre 	 food 
 Kollegium ; Rat 	 conseil 	 society 
 Konkurrenzkampf 	 concurrence 	 business 
 Konstruktion ; Struktur ; Aufbau 	 construction 	 house 
 Konto 	 compte 	 business 
 Kontrolle 	 maîtrise 	 abstract 
 Konzert 	 concert 	 art 
 Kopf ; Haupt 	 tête 	 anatomy 
 Kopie 	 copie 	 object 
 Korb 	 panier 	 object 
 Korn 	 grain 	 material 
 Kosten 	 frais 	 society 
 Kraft ; Gewalt ; Stärke 	 force 	 abstract 
 Kraftanstrengung 	 peine 	 abstract 
 Kragen 	 col 	 clothes 
 Krankenschwester 	 infirmière 	 profession 
 Krankheit 	 maladie 	 medicine 
 Krawatte ; Schlips 	 cravate 	 clothes 
 Kreatur ; Tier ; Vieh 	 animal 	 nature 
 Kreis 	 cercle 	 mathematics 
 Krieg 	 guerre 	 society 
 Kriminalität ; Verbrechen 	 délit 	 society 
 Kriterium ; Maß ; Norm ; Standard 	 critère 	 communication 
 Krümmung 	 courbure 	 mathematics 
 Kuchen 	 gâteau 	 food 
 Kuh 	 vache 	 animal 
 Kultur 	 culture 	 society 
 Kunde 	 commettant 	 business 
 Kunst ; Arte 	 art 	 art 
 Kurve 	 anse 	 transport 
 Kurve 	 arc 	 art 
 Kuß 	 baiser 	 relations 
 Kälte 	 froid 	 nature 
 Käse 	 fromage 	 food 
 König 	 roi 	 society 
 Ladung 	 charge 	 nature 
 Lage 	 situation 	 abstract 
 Land 	 pays 	 society 
 Leben 	 vie 	 nature 
 Leben 	 vie 	 time 
 Leder 	 cuir 	 material 
 Lehrgang ; Kurs 	 cours 	 education 
 Leim 	 colle 	 material 
 Leute 	 gens 	 society 
 Lexikon ; Wörterbuch 	 dictionnaire 	 linguistics 
 Licht 	 lumière 	 nature 
 Liebe 	 passion 	 relations 
 Liebling 	 chérie 	 relations 
 Linie ; Zeile 	 ligne 	 mathematics 
 Lippe 	 lèvre 	 anatomy 
 Liste 	 liste 	 abstract 
 Luft 	 air 	 nature 
 Lunch ; Mittagessen 	 déjeuner 	 food 
 Lächeln ; Grinsen 	 sourire 	 abstract 
 Löffel 	 cuiller 	 food 
 Löwe 	 lion 	 animal 
 Lüge 	 mensonge 	 communication 
 Macht 	 force 	 abstract 
 Magen 	 estomac 	 anatomy 
 Management 	 direction 	 business 
 Mann 	 homme 	 family 
 Mann 	 mâle 	 society 
 Mannschaft 	 équipe 	 society 
 Mantel 	 manteau 	 clothes 
 Marke ; Zeichen 	 marque 	 abstract 
 Markt 	 marché 	 business 
 Maschine 	 machine 	 device 
 Masse 	 masse 	 physics 
 Masse 	 masse 	 physics 
 Material ; materiell ; Stoff ; Zeug 	 matériau 	 material 
 Materie ; Stoff 	 matière 	 material 
 Matrose ; Seemann 	 marin 	 profession 
 Mauer 	 mur 	 house 
 Maßnahme ; Vorkehrung ; Maßregel 	 mesure 	 abstract 
 Meer 	 mer 	 nature 
 Mehrheit 	 majorité 	 abstract 
 Meinung ; Ansicht ; Stellungnahme 	 avis 	 communication 
 Meisterschaft ; Titel 	 championnat 	 sports 
 Menge 	 quantité 	 abstract 
 Menorrhö ; Menstruation 	 menstruation 	 medicine 
 Menü ; Speisekarte 	 menu 	 object 
 Messen ; Messung 	 mesurage 	 art 
 Messer 	 couteau 	 food 
 Metall 	 métal 	 material 
 Methode 	 méthode 	 mathematics 
